,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,851.0,1057.0,1413.0,1877.0,2853.0,4115.0,5374.0,6695.0
Expenses,,880.0,1094.0,1435.0,2328.0,3183.0,4228.0,5292.0,6534.0
Operating Profit,,-29.0,-37.0,-22.0,-451.0,-330.0,-113.0,83.0,160.0
OPM %,,-3.4,-3.5,-1.5,-24.0,-12.0,-2.7,1.5,2.4
Other Income,,0.0,0.0,0.0,281.0,374.0,224.0,155.0,2.0
Interest,,3.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0
Depreciation,,16.0,21.0,22.0,27.0,32.0,29.0,25.0,36.0
Profit before tax,,-48.0,-62.0,-50.0,-197.0,13.0,82.0,214.0,127.0
Tax %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Net Profit,,-48.0,-62.0,-50.0,-197.0,13.0,82.0,214.0,131.0
EPS in Rs,,1.17,0.71,0.95,,,,,
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,24.29,33.63,32.86,51.97,44.25,30.59,24.57
Manufacturing Cost %,Expenses,44.0,44.0,46.0,64.0,57.0,73.0,76.0,80.0
Employee Cost %,Expenses,19.0,18.0,21.0,24.0,22.0,16.0,12.0,10.0
Other Cost %,Expenses,41.0,41.0,35.0,36.0,33.0,14.0,11.0,7.0
Exceptional items,Other Income,0.0,0.0,0.0,0.94,1.43,3.26,0.0,0.0
Other income normal,Other Income,0.3,0.01,0.03,280.41,372.82,220.78,155.42,2.03
Exceptional items AT,Net Profit,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
Profit excl Excep,Net Profit,-48.0,-62.0,-50.0,-197.0,11.0,79.0,214.0,131.0
Profit for PE,Net Profit,-48.0,-62.0,-50.0,-197.0,11.0,79.0,214.0,131.0
Profit for EPS,Net Profit,-48.0,-62.0,-50.0,-197.0,13.0,82.0,214.0,131.0
Profit Growth %,Net Profit,,-27.0,19.0,-297.0,106.0,607.0,172.0,-39.0
