symbol,index,date,ratio,implied,volume_step,level_hold
AARTIIND,555,2021-06-22,2.0,1.947,1.16,0.97
ADANIGREEN,1343,2024-11-21,1.25,1.218,11.0,1.034
ADFFOODS,1116,2023-09-11,5.0,4.951,3.46,0.965
ALKYLAMINE,536,2021-05-11,2.5,2.481,1.51,1.087
AMRUTANJAN,251,2020-03-13,1.25,1.209,1.56,1.064
ANDHRSUGAR,696,2021-12-30,5.0,5.161,13.24,0.938
APLAPOLLO,438,2020-12-15,5.0,4.903,7.68,1.095
APLAPOLLO,624,2021-09-16,2.0,2.01,2.52,0.935
ASHOKLEY,1568,2025-07-16,2.0,2.001,1.66,0.972
AUBANK,805,2022-06-09,2.0,1.982,1.84,0.958
BAJAJFINSV,870,2022-09-13,10.0,9.765,6.5,0.993
BAJFINANCE,1546,2025-06-16,10.0,9.76,9.0,0.992
BANCOINDIA,1434,2024-12-30,2.0,1.974,1.68,0.88
BANKBEES,193,2019-12-19,10.0,9.911,12.48,0.997
BBL,1265,2024-04-24,2.0,1.981,1.96,0.97
BDL,1285,2024-05-24,2.0,1.959,4.05,1.089
BHARATRAS,1670,2025-12-12,4.0,3.884,4.14,0.907
BPCL,1304,2024-06-21,2.0,1.969,1.42,0.973
BRIGADE,119,2019-08-28,1.5,1.462,3.27,1.064
BRIGADE,1793,2026-06-17,1.25,1.287,3.1,0.929
CANBK,1279,2024-05-15,5.0,4.874,5.01,1.034
CANTABIL,1094,2023-11-02,5.0,4.923,4.86,0.903
CDSL,1283,2024-08-23,2.0,1.932,1.85,0.988
CESC,625,2021-09-17,10.0,9.866,14.99,1.023
CHENNPETRO,257,2020-03-23,1.25,1.229,1.68,1.141
CHOLAFIN,68,2019-06-14,5.0,4.957,1.96,0.962
CUPID,1513,2026-03-09,5.0,4.905,5.83,1.033
DIXON,502,2021-03-18,5.0,4.89,7.51,0.915
DRREDDY,1392,2024-10-28,5.0,4.935,4.3,0.967
ECLERX,1668,2026-03-13,2.0,2.006,1.75,0.943
EICHERMOT,360,2020-08-24,10.0,9.867,6.05,1.0
FILATEX,941,2022-12-27,2.0,1.929,2.11,1.031
FINPIPE,519,2021-04-15,5.0,4.954,5.78,1.083
GAEL,388,2020-10-01,2.0,1.988,1.34,1.084
GAEL,1241,2024-03-15,2.0,1.984,1.31,0.902
GAIL,85,2019-07-09,2.0,2.001,1.51,0.911
GARFIBRES,1438,2025-01-03,5.0,4.852,3.19,0.861
GNA,1110,2023-09-01,2.0,1.934,1.87,0.966
GPIL,583,2021-10-26,4.0,3.873,2.95,0.883
GPIL,1304,2024-10-04,5.0,5.071,4.71,0.905
HAL,1128,2023-09-28,2.0,1.984,1.23,1.013
HCC,1607,2025-12-05,1.25,1.298,5.38,0.895
HCLTECH,183,2019-12-05,2.0,1.996,1.64,0.997
HDFCAMC,1658,2025-11-26,2.0,1.99,1.47,0.993
HDFCBANK,133,2019-09-19,2.0,1.989,2.46,1.119
HDFCBANK,1596,2025-08-26,2.0,2.005,2.31,0.983
HDFCNIFETF,482,2021-02-17,10.0,9.868,6.99,0.971
HERITGFOOD,959,2023-01-20,2.0,2.01,1.69,0.88
HSIL,112,2019-09-03,5.0,5.105,2.25,0.981
IIFL,1152,2024-03-06,1.25,1.25,6.43,0.94
INDIAGLYCO,1587,2025-08-12,2.0,2.001,1.76,0.917
IOLCP,1484,2025-03-11,5.0,4.991,5.59,0.899
IRB,981,2023-02-22,10.0,9.785,9.23,0.963
IRB,1741,2026-03-30,2.0,1.991,1.81,1.064
IRCON,542,2021-05-20,2.0,1.987,1.65,0.99
JBCHEPHARM,1121,2023-09-18,2.0,2.001,1.66,0.997
JBMA,732,2022-02-21,2.5,2.466,1.24,0.917
JBMA,1396,2025-01-31,2.0,1.971,4.05,0.829
JINDALSAW,1379,2024-10-09,2.0,2.01,1.57,0.881
JMFINANCIL,1235,2024-03-06,1.25,1.209,1.96,1.022
JTEKTINDIA,251,2020-03-13,1.25,1.249,2.7,0.854
JUBILANT,251,2020-03-13,1.25,1.211,1.65,0.918
JUBLFOOD,769,2022-04-19,5.0,4.93,3.1,0.915
KOTAKBANK,1692,2026-01-14,5.0,5.006,8.72,0.987
KPRMILL,630,2021-09-24,5.0,4.922,6.88,1.074
KSB,1327,2024-07-25,5.0,5.067,3.84,0.927
LALPATHLAB,1675,2025-12-19,2.0,2.022,2.76,1.015
LAURUSLABS,386,2020-09-29,5.0,4.886,2.41,1.116
MCX,1684,2026-01-02,5.0,4.928,7.52,1.056
NAUKRI,1518,2025-05-07,5.0,5.034,2.89,1.04
NESTLEIND,1194,2024-01-05,10.0,9.846,7.65,0.927
NESTLEIND,1585,2025-08-08,2.0,1.992,2.19,1.04
NIFTYBEES,193,2019-12-19,10.0,10.004,9.16,1.004
OIL,1311,2024-07-02,1.5,1.484,2.37,1.167
PCJEWELLER,1293,2024-12-31,10.0,9.603,1.17,0.986
PERSISTENT,1249,2024-03-28,2.0,1.991,2.23,0.964
PHOENIXLTD,1367,2024-09-20,2.0,1.941,2.24,0.948
PIDILITIND,1615,2025-09-23,2.0,1.98,2.25,0.985
REDINGTON,605,2021-08-18,2.0,1.996,1.46,0.893
RELAXO,76,2019-06-26,2.0,2.015,2.92,1.008
RELIANCE,1392,2024-10-28,2.0,1.986,1.36,0.974
RKFORGE,746,2022-03-14,5.0,4.94,4.79,1.021
SARDAEN,1029,2023-08-04,10.0,9.954,9.49,1.049
SCHAEFFLER,723,2022-02-08,5.0,4.991,7.33,1.001
SHILPAMED,1564,2025-10-03,2.0,1.947,1.61,0.934
SIEMENS,1500,2025-04-07,2.0,2.011,1.49,1.159
SIS,211,2020-01-15,2.0,1.961,3.26,1.021
SOLARA,725,2022-02-10,1.25,1.25,1.88,0.899
SOLARA,726,2022-02-11,1.25,1.228,1.88,1.124
SONATSOFTW,867,2022-09-08,1.25,1.203,1.74,0.937
SONATSOFTW,1177,2023-12-12,2.0,1.986,2.03,1.05
SRF,643,2021-10-13,5.0,4.908,3.43,0.861
SSWL,849,2022-11-10,5.0,4.934,4.3,1.035
SURYAROSNI,1133,2023-10-06,2.0,1.975,3.76,1.102
SURYAROSNI,1436,2025-01-01,2.0,1.96,2.5,0.893
SYNGENE,65,2019-06-11,2.0,1.966,1.56,0.992
TATASTEEL,840,2022-07-28,10.0,9.78,8.75,1.122
TFCILTD,1613,2025-09-19,5.0,5.001,2.5,1.01
TORNTPHARM,826,2022-07-08,2.0,1.973,2.81,1.016
TRENT,1784,2026-06-04,1.5,1.504,2.5,1.107
TRIDENT,189,2019-12-13,10.0,9.824,10.02,1.025
TVTODAY,974,2023-02-13,1.25,1.282,1.51,0.865
UPL,80,2019-07-02,1.5,1.488,2.75,1.015
UTINIFTETF,1125,2023-09-25,10.0,9.831,5.14,0.999
V2RETAIL,1214,2026-03-25,10.0,9.883,15.82,1.015
VAIBHAVGBL,534,2021-05-07,5.0,4.935,3.75,0.969
VBL,1056,2023-06-15,2.0,1.97,2.07,1.008
VBL,1361,2024-09-12,2.5,2.469,3.43,0.989
VINATIORGA,226,2020-02-05,2.0,1.976,1.35,0.993
VISAKAIND,1033,2023-05-15,5.0,4.909,2.56,0.945
VMART,1551,2025-06-23,4.0,3.93,4.9,0.892
VRLLOG,1589,2025-08-14,2.0,1.992,1.42,0.987
VTL,753,2022-03-24,5.0,4.899,3.67,0.845
WIPRO,1416,2024-12-03,2.0,1.979,1.56,1.045
YESBANK,338,2020-07-23,1.25,1.25,10.86,0.966
ZYDUSWELL,1612,2025-09-18,5.0,4.94,2.56,0.901
ANUP,1254,2024-04-23,2.0,1.923,2.09,1.01
METROPOLIS,1707,2026-03-20,4.0,3.88,6.67,1.0
INDIAMART,978,2023-06-21,2.0,1.985,2.33,0.959
ICICIBANKN,769,2022-09-01,10.0,10.141,18.75,1.015
AFFLE,414,2021-10-07,5.0,4.934,2.84,0.985
SWSOLAR,57,2019-11-18,1.25,1.25,8.37,0.9
IRCTC,505,2021-10-28,5.0,5.055,1.31,1.036
BORORENEW,10,2020-03-23,5.0,5.068,2.99,0.976
