,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,825.0,859.0,874.0,875.0,923.0,924.0
Reserves,,402.0,1119.0,1565.0,1844.0,3391.0,3738.0
Borrowings,,0.0,0.0,0.0,350.0,350.0,350.0
Other Liabilities,,4777.0,8070.0,11050.0,13889.0,16797.0,19940.0
Total Liabilities,,6004.0,10048.0,13490.0,16958.0,21461.0,24952.0
Fixed Assets,,22.0,125.0,161.0,173.0,215.0,157.0
CWIP,,81.0,24.0,1.0,2.0,1.0,0.0
Investments,,5430.0,9247.0,12389.0,15395.0,19409.0,22703.0
Other Assets,,471.0,652.0,938.0,1388.0,1835.0,2093.0
Total Assets,,6004.0,10048.0,13490.0,16958.0,21461.0,24952.0
Building,Fixed Assets,6.37,98.04,133.04,135.88,139.04,
Equipments,Fixed Assets,5.62,9.36,11.64,12.32,14.5,
Computers,Fixed Assets,22.17,29.76,36.44,42.98,49.64,
Furniture n fittings,Fixed Assets,1.8,3.75,5.14,6.14,6.83,
Vehicles,Fixed Assets,0.0,0.0,0.0,0.0,0.4,
Other fixed assets,Fixed Assets,4.79,14.84,16.6,30.85,74.37,
Gross Block,Fixed Assets,40.75,155.75,202.86,228.17,284.78,
Accumulated Depreciation,Fixed Assets,19.17,31.02,42.25,54.87,69.49,
Long term Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,350.0
Other Borrowings,Borrowings,0.0,0.0,0.0,350.0,350.0,
Trade Payables,Other Liabilities,144.0,217.0,333.0,199.0,187.0,0.0
Other liability items,Other Liabilities,4634.0,7853.0,10717.0,13690.0,16610.0,19940.0
Cash Equivalents,Other Assets,160.0,147.0,279.0,356.0,239.0,219.0
Loans n Advances,Other Assets,6.0,19.0,19.0,64.0,90.0,1872.0
Other asset items,Other Assets,306.0,487.0,640.0,968.0,1506.0,2.0
