,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,107.0,107.0,107.0,214.0
Reserves,,6001.0,6968.0,8023.0,9015.0
Borrowings,,0.0,0.0,0.0,0.0
Other Liabilities,,428.0,479.0,621.0,763.0
Total Liabilities,,6536.0,7554.0,8751.0,9991.0
Fixed Assets,,150.0,153.0,198.0,274.0
CWIP,,2.0,1.0,0.0,0.0
Investments,,6076.0,7156.0,8255.0,9362.0
Other Assets,,307.0,244.0,297.0,355.0
Total Assets,,6536.0,7554.0,8751.0,9991.0
Building,Fixed Assets,22.14,26.73,33.04,
Equipments,Fixed Assets,10.13,12.71,17.3,
Computers,Fixed Assets,28.53,26.79,42.82,
Furniture n fittings,Fixed Assets,3.54,4.19,4.85,
Vehicles,Fixed Assets,0.5,0.5,0.5,
Intangible Assets,Fixed Assets,6.04,6.04,6.04,13.48
Other fixed assets,Fixed Assets,235.98,251.18,275.55,
Gross Block,Fixed Assets,306.86,328.14,380.1,
Accumulated Depreciation,Fixed Assets,156.39,175.5,181.81,
Trade Payables,Other Liabilities,34.0,39.0,40.0,47.0
Other liability items,Other Liabilities,394.0,440.0,581.0,715.0
Trade receivables,Other Assets,184.0,93.0,134.0,159.0
Cash Equivalents,Other Assets,7.0,40.0,42.0,55.0
Loans n Advances,Other Assets,47.0,50.0,52.0,0.0
Other asset items,Other Assets,70.0,61.0,70.0,142.0
