,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,18.0,18.0,18.0,18.0,18.0,144.0,144.0,144.0,144.0,144.0
Reserves,,924.0,1120.0,1203.0,1299.0,1687.0,2052.0,2373.0,3025.0,3583.0,3897.0
Borrowings,,0.0,70.0,72.0,62.0,59.0,54.0,48.0,79.0,68.0,64.0
Other Liabilities,,258.0,342.0,206.0,193.0,221.0,184.0,223.0,254.0,320.0,310.0
Total Liabilities,,1200.0,1549.0,1498.0,1572.0,1985.0,2435.0,2788.0,3502.0,4114.0,4415.0
Fixed Assets,,18.0,90.0,95.0,86.0,77.0,72.0,70.0,111.0,107.0,119.0
CWIP,,0.0,0.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0
Investments,,901.0,1141.0,1138.0,1263.0,1726.0,2121.0,2359.0,3122.0,3692.0,3946.0
Other Assets,,281.0,318.0,263.0,221.0,180.0,239.0,357.0,267.0,315.0,348.0
Total Assets,,1200.0,1549.0,1498.0,1572.0,1985.0,2435.0,2788.0,3502.0,4114.0,4415.0
Land,Fixed Assets,0.0,0.0,0.0,0.0,72.42,68.53,61.63,0.0,0.0,
Building,Fixed Assets,17.57,5.63,8.7,11.04,11.31,13.04,15.51,20.25,22.19,
Equipments,Fixed Assets,9.73,4.44,7.09,8.94,9.3,9.77,11.0,12.2,12.76,
Computers,Fixed Assets,16.24,7.46,11.99,14.11,15.77,16.82,17.43,21.63,5.24,
Furniture n fittings,Fixed Assets,3.51,1.09,1.82,2.4,2.41,3.07,3.69,4.68,27.35,
Vehicles,Fixed Assets,2.4,6.15,7.87,9.6,8.82,10.82,13.65,18.85,21.7,
Intangible Assets,Fixed Assets,57.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.33
Other fixed assets,Fixed Assets,7.78,75.09,80.03,78.35,31.07,35.59,41.53,119.39,138.06,
Gross Block,Fixed Assets,114.86,99.86,117.5,124.44,151.1,157.64,164.44,197.0,227.3,
Accumulated Depreciation,Fixed Assets,96.38,9.93,22.87,38.25,74.02,85.56,94.22,86.18,120.62,
Lease Liabilities,Borrowings,0.0,70.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
Other Borrowings,Borrowings,0.0,0.0,0.0,62.0,59.0,54.0,48.0,79.0,68.0,
Trade Payables,Other Liabilities,46.0,145.0,76.0,47.0,37.0,30.0,48.0,58.0,68.0,70.0
Other liability items,Other Liabilities,212.0,197.0,130.0,146.0,183.0,154.0,175.0,196.0,251.0,240.0
Trade receivables,Other Assets,57.0,45.0,26.0,40.0,31.0,26.0,25.0,41.0,58.0,55.0
Cash Equivalents,Other Assets,26.0,44.0,38.0,47.0,57.0,98.0,127.0,85.0,103.0,139.0
Loans n Advances,Other Assets,88.0,187.0,144.0,89.0,37.0,49.0,101.0,80.0,77.0,0.0
Other asset items,Other Assets,110.0,42.0,56.0,45.0,55.0,66.0,105.0,61.0,76.0,155.0
