,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,27.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
Reserves,,3469.0,4240.0,5304.0,5872.0,6904.0,7257.0,9242.0,11675.0,12714.0,13518.0,14916.0,16708.0
Borrowings,,27.0,42.0,36.0,63.0,106.0,39.0,5.0,4.0,3.0,3.0,4.0,7.0
Other Liabilities,,883.0,562.0,762.0,797.0,973.0,1183.0,1471.0,1628.0,1654.0,1886.0,1948.0,3265.0
Total Liabilities,,4405.0,4898.0,6155.0,6785.0,8036.0,8531.0,10771.0,13360.0,14425.0,15460.0,16921.0,20033.0
Fixed Assets,,1309.0,1439.0,1559.0,1996.0,2088.0,2782.0,3704.0,4325.0,4723.0,4739.0,5442.0,6528.0
CWIP,,218.0,264.0,444.0,120.0,492.0,920.0,711.0,470.0,212.0,778.0,1022.0,2113.0
Investments,,733.0,803.0,1631.0,1889.0,1946.0,971.0,0.0,72.0,77.0,82.0,65.0,69.0
Other Assets,,2145.0,2392.0,2521.0,2780.0,3511.0,3858.0,6356.0,8493.0,9413.0,9861.0,10392.0,11323.0
Total Assets,,4405.0,4898.0,6155.0,6785.0,8036.0,8531.0,10771.0,13360.0,14425.0,15460.0,16921.0,20033.0
Land,Fixed Assets,27.24,27.24,76.26,102.17,147.94,161.1,171.51,172.74,194.23,195.0,202.0,
Building,Fixed Assets,362.29,439.92,423.83,529.3,574.63,808.81,1147.35,1435.02,1559.4,1667.0,2128.0,
Plant Machinery,Fixed Assets,1436.05,1564.75,1154.81,1562.23,1710.38,2297.42,3065.09,3628.53,4178.13,4438.0,4992.0,
Equipments,Fixed Assets,96.98,115.11,88.53,116.86,135.35,169.5,209.6,256.07,287.74,307.0,369.0,
Computers,Fixed Assets,7.45,10.28,8.32,10.69,11.3,15.67,21.35,25.22,27.88,30.0,34.0,
Furniture n fittings,Fixed Assets,11.73,25.77,29.72,32.79,34.25,37.94,44.0,50.16,57.32,61.0,71.0,
Vehicles,Fixed Assets,6.72,7.84,5.65,6.83,7.34,8.66,13.49,26.04,27.41,27.0,34.0,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Other fixed assets,Fixed Assets,4.56,5.17,6.83,12.58,12.74,15.15,19.47,30.49,32.65,35.0,38.0,
Gross Block,Fixed Assets,1953.02,2196.08,1793.95,2373.45,2633.93,3514.25,4691.86,5624.27,6364.76,6760.0,7868.0,
Accumulated Depreciation,Fixed Assets,644.13,757.32,234.76,377.26,546.16,732.4,987.99,1299.22,1642.16,2021.0,2426.0,
Long term Borrowings,Borrowings,1.05,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,25.07,41.42,35.74,63.11,105.6,33.63,0.35,0.0,0.0,0.0,2.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,5.22,4.48,3.69,3.26,3.0,2.0,7.0
Other Borrowings,Borrowings,0.5,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,227.0,233.0,446.0,411.0,492.0,591.0,763.0,796.0,763.0,824.0,910.0,1211.0
Advance from Customers,Other Liabilities,41.0,40.0,31.0,40.0,29.0,29.0,16.0,17.0,33.0,34.0,40.0,
Other liability items,Other Liabilities,616.0,290.0,285.0,346.0,452.0,562.0,692.0,816.0,859.0,1028.0,998.0,2054.0
Inventories,Other Assets,1163.0,1208.0,1320.0,1351.0,1772.0,1864.0,2145.0,2829.0,3000.0,3184.0,3236.0,3954.0
Trade receivables,Other Assets,742.0,881.0,901.0,1014.0,1163.0,1413.0,1677.0,2424.0,1793.0,2156.0,2731.0,2984.0
Cash Equivalents,Other Assets,65.0,73.0,79.0,112.0,115.0,123.0,2156.0,2819.0,4213.0,3980.0,3715.0,3414.0
Loans n Advances,Other Assets,23.0,32.0,42.0,50.0,68.0,120.0,88.0,172.0,159.0,144.0,137.0,67.0
Other asset items,Other Assets,153.0,199.0,180.0,252.0,392.0,339.0,291.0,250.0,248.0,397.0,573.0,904.0
