,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,4827.0,5468.0,4890.0,5404.0
Expenses,,4256.0,4855.0,4075.0,4479.0
Operating Profit,,571.0,613.0,815.0,925.0
OPM %,,12.0,11.0,17.0,17.0
Other Income,,59.0,69.0,41.0,32.0
Interest,,22.0,25.0,20.0,34.0
Depreciation,,101.0,104.0,103.0,108.0
Profit before tax,,508.0,553.0,733.0,816.0
Tax %,,25.0,25.0,25.0,26.0
Net Profit,,381.0,417.0,553.0,604.0
EPS in Rs,,17.8,19.46,13.68,14.95
Dividend Payout %,,41.0,46.0,82.0,0.0
Sales Growth %,Sales,,13.26,-10.56,10.5
Exceptional items,Other Income,-1.0,-1.0,-0.0,-27.0
Other income normal,Other Income,60.0,70.0,41.0,59.0
