nse_symbol,status
360ONE,"ok:consolidated:headline=12:cols=9;schedules=Sales=1,Expenses=4,Other Income=2,Net Profit=6"
3MINDIA,"ok:consolidated:headline=12:cols=7;schedules=Sales=1,Expenses=4,Other Income=2,Net Profit=5"
ABLBL,"ok:consolidated:headline=12:cols=2;schedules=Sales=1,Expenses=4,Other Income=2,Net Profit=5"
ABREL,"ok:consolidated:headline=12:cols=10;schedules=Sales=1,Expenses=4,Other Income=2,Net Profit=6"
ABB,"ok:consolidated:headline=12:cols=4;schedules=Sales=1,Expenses=4,Other Income=2,Net Profit=5"
ACC,"ok:consolidated:headline=12:cols=11;schedules=Sales=1,Expenses=4,Other Income=2,Net Profit=7"
ACMESOLAR,"ok:consolidated:headline=12:cols=7;schedules=Sales=1,Expenses=3,Other Income=2,Net Profit=6"
AIAENG,"ok:consolidated:headline=12:cols=12;schedules=Sales=1,Expenses=4,Other Income=2,Net Profit=6"
APLAPOLLO,"ok:consolidated:headline=12:cols=12;schedules=Sales=1,Expenses=4,Other Income=2,Net Profit=6"
AUBANK,"ok:consolidated:headline=12:cols=4;schedules=Expenses=3,Other Income=2,Net Profit=6"
AWL,"ok:consolidated:headline=12:cols=8;schedules=Sales=1,Expenses=4,Other Income=2,Net Profit=7"
AADHARHFC,"ok:standalone:headline=12:cols=8;schedules=Expenses=3,Other Income=HTTP429,Net Profit=5"
AARTIIND,"ok:consolidated:headline=12:cols=12;schedules=Sales=1,Expenses=4,Other Income=HTTP429,Net Profit=7"
AAVAS,"ok:standalone:headline=12:cols=12;schedules=Expenses=3,Other Income=HTTP429,Net Profit=5"
ABBOTINDIA,"ok:standalone:headline=12:cols=12;schedules=Sales=1,Expenses=4,Other Income=2,Net Profit=5"
ACE,"ok:consolidated:headline=12:cols=12;schedules=Sales=1,Expenses=HTTP429,Other Income=2,Net Profit=7"
ACUTAAS,"ok:consolidated:headline=12:cols=10;schedules=Sales=1,Expenses=4,Other Income=2,Net Profit=6"
ADANIENSOL,"ok:consolidated:headline=12:cols=12;schedules=Sales=1,Expenses=4,Other Income=HTTP429,Net Profit=6"
ADANIENT,"ok:standalone:headline=12:cols=12;schedules=Sales=1,Expenses=HTTP429,Other Income=2,Net Profit=5"
ADANIGREEN,"ok:consolidated:headline=12:cols=10;schedules=Sales=1,Expenses=4,Other Income=2,Net Profit=7"
ADANIPORTS,"ok:consolidated:headline=12:cols=12;schedules=Sales=1,Expenses=4,Other Income=2,Net Profit=HTTP429"
ADANIPOWER,"ok:consolidated:headline=12:cols=12;schedules=Sales=1,Expenses=4,Other Income=HTTP429,Net Profit=7"
ATGL,"ok:consolidated:headline=12:cols=9;schedules=Sales=1,Expenses=HTTP429,Other Income=2,Net Profit=HTTP429"
ABSLAMC,"ok:consolidated:headline=12:cols=10;schedules=Sales=1,Expenses=3,Other Income=HTTP429,Net Profit=5"
ABCAPITAL,"ok:consolidated:headline=12:cols=12;schedules=Expenses=3,Other Income=HTTP429,Net Profit=6"
ABFRL,"ok:consolidated:headline=12:cols=8;schedules=Sales=1,Expenses=HTTP429,Other Income=2,Net Profit=HTTP429"
CPPLUS,"ok:consolidated:headline=12:cols=7;schedules=Sales=1,Expenses=4,Other Income=HTTP429,Net Profit=7"
AEGISLOG,"ok:consolidated:headline=12:cols=12;schedules=Sales=1,Expenses=4,Other Income=HTTP429,Net Profit=6"
