company_name,industry,nse_symbol,series,isin
360 ONE,,360ONE,EQ,INE466L01038
3M India Ltd.,SERVICES,3MINDIA,EQ,INE470A01017
A B Lifestyle,,ABLBL,EQ,INE14LE01019
A B Real Estate,,ABREL,EQ,INE055A01016
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,EQ,INE117A01022
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025
ACME Solar Hold.,,ACMESOLAR,EQ,INE622W01025
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,EQ,INE212H01026
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01027
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017
AWL Agri Busine.,,AWL,EQ,INE699H01024
Aadhar Hsg. Fin.,,AADHARHFC,EQ,INE883F01010
Aarti Industries,,AARTIIND,EQ,INE769A01020
Aavas Financiers Ltd.,FINANCIAL SERVICES,AAVAS,EQ,INE216P01012
Abbott India,,ABBOTINDIA,EQ,INE358A01014
Action Const.Eq.,,ACE,EQ,INE731H01025
Acutaas Chemical,,ACUTAAS,EQ,INE00FF01025
Adani Energy Sol,,ADANIENSOL,EQ,INE931S01010
Adani Enterp.,,ADANIENT,EQ,INE423A01024
Adani Green Energy Ltd.,ENERGY,ADANIGREEN,EQ,INE364U01010
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
Adani Power Ltd.,ENERGY,ADANIPOWER,EQ,INE814H01029
Adani Total Gas,,ATGL,EQ,INE399L01023
Aditya AMC,,ABSLAMC,EQ,INE404A01024
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,EQ,INE674K01013
Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,ABFRL,EQ,INE647O01011
Aditya Infotech,,CPPLUS,EQ,INE819V01029
Aegis Logistics,,AEGISLOG,EQ,INE208C01025
Aegis Vopak Term,,AEGISVOPAK,EQ,INE0INX01018
Afcons Infrastr.,,AFCONS,EQ,INE101I01011
Affle 3i,,AFFLE,EQ,INE00WC01027
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014
Allied Blenders,,ABDL,EQ,INE552Z01027
Amara Raja Ener.,,ARE&M,EQ,INE885A01032
Amber Enterp.,,AMBER,EQ,INE371P01015
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
Anand Rathi Wea.,,ANANDRATHI,EQ,INE463V01026
Anant Raj,,ANANTRAJ,EQ,INE242C01024
Angel One,,ANGELONE,EQ,INE732I01021
Anthem Bioscienc,,ANTHEM,EQ,INE0CZ201020
Anupam Rasayan,,ANURAS,EQ,INE930P01018
Apar Inds.,,APARINDS,EQ,INE372A01015
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022
Aptus Value Hou.,,APTUS,EQ,INE852O01025
Asahi India Glas,,ASAHIINDIA,EQ,INE439A01020
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026
Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM,EQ,INE914M01019
Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,EQ,INE006I01046
Ather Energy,,ATHERENERG,EQ,INE0LEZ01016
Atul Ltd.,CHEMICALS,ATUL,EQ,INE100A01010
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037
Authum Invest,,AIIL,EQ,INE206F01022
Avenue Supermarts Ltd.,CONSUMER GOODS,DMART,EQ,INE192R01011
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01024
BLS Internat.,,BLS,EQ,INE153T01027
BSE Ltd.,FINANCIAL SERVICES,BSE,EQ,INE118H01025
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01032
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01026
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,EQ,INE118A01012
Bajaj Housing,,BAJAJHFL,EQ,INE377Y01014
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,EQ,INE119A01028
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,EQ,INE545U01014
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039
Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016
Bank of Maharashtra.,FINANCIAL SERVICES,MAHABANK,EQ,INE457A01014
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028
Bayer Crop Sci.,,BAYERCROP,EQ,INE462A01022
Belrise Industri,,BELRISE,EQ,INE894V01022
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,EQ,INE463A01038
Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL,EQ,INE171Z01026
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026
Bharat Petroleum Corporation Ltd.,ENERGY,BPCL,EQ,INE029A01011
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024
Bharti Hexacom,,BHARTIHEXA,EQ,INE343G01021
Bikaji Foods,,BIKAJI,EQ,INE00E101023
Billionbrains,,GROWW,EQ,INE0HOQ01053
Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013
Birlasoft Ltd,,BSOFT,EQ,INE836A01035
Blue Dart Express Ltd.,SERVICES,BLUEDART,EQ,INE233B01017
Blue Jet Health,,BLUEJET,EQ,INE0KBH01020
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,EQ,INE472A01039
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,EQ,INE050A01025
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026
Brainbees Solut.,,FIRSTCRY,EQ,INE02RE01045
Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,EQ,INE791I01019
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030
C.E. Info System,,MAPMYINDIA,EQ,INE0BV301023
CCL Products (I) Ltd.,CONSUMER GOODS,CCL,EQ,INE421D01022
CESC Ltd.,ENERGY,CESC,EQ,INE486A01021
CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,CGPOWER,EQ,INE067A01029
CIE Automotive,,CIEINDIA,EQ,INE536H01010
CRISIL Ltd.,FINANCIAL SERVICES,CRISIL,EQ,INE007A01025
Cams Services,,CAMS,EQ,INE596I01020
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,EQ,INE477A01020
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01022
Canara HSBC,,CANHLIFE,EQ,INE01TY01017
Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT,EQ,INE475E01026
Capri Global,,CGCL,EQ,INE180C01042
Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV,EQ,INE120A01034
Cartrade Tech,,CARTRADE,EQ,INE290S01011
Castrol India Ltd.,ENERGY,CASTROLIND,EQ,INE172A01027
Ceat Ltd.,AUTOMOBILE,CEATLTD,EQ,INE482A01020
Cemindia Project,,CEMPRO,EQ,INE686A01026
Central Bank of India,FINANCIAL SERVICES,CENTRALBK,EQ,INE483A01010
Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL,EQ,INE736A01011
Chalet Hotels,,CHALET,EQ,INE427F01016
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,EQ,INE085A01013
Chennai Petroleum Corporation Ltd.,ENERGY,CHENNPETRO,EQ,INE178A01016
Choice Intl.,,CHOICEIN,EQ,INE102B01014
Cholamandalam Financial Holdings Ltd.,FINANCIAL SERVICES,CHOLAHLDNG,EQ,INE149A01033
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01024
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026
City Union Bank Ltd.,FINANCIAL SERVICES,CUB,EQ,INE491A01021
Clean Science,,CLEAN,EQ,INE227W01023
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,EQ,INE704P01025
Coforge,,COFORGE,EQ,INE591G01025
Cohance Life,,COHANCE,EQ,INE03QK01018
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022
Concord Biotech,,CONCORDBIO,EQ,INE338H01029
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,EQ,INE169A01031
Craftsman Auto,,CRAFTSMAN,EQ,INE00LO01017
CreditAccess Grameen Ltd.,FINANCIAL SERVICES,CREDITACC,EQ,INE741K01010
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,EQ,INE299U01018
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,EQ,INE298A01020
Cyient Ltd.,IT,CYIENT,EQ,INE136B01020
DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM,EQ,INE499A01024
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023
DOMS Industries,,DOMS,EQ,INE321T01012
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026
Dalmia BharatLtd,,DALBHARAT,EQ,INE00R701025
Data Pattern,,DATAPATTNS,EQ,INE0IX101010
Deepak Fertilisers & Petrochemicals Corp. Ltd.,CHEMICALS,DEEPAKFERT,EQ,INE501A01019
Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR,EQ,INE288B01029
Delhivery,,DELHIVERY,EQ,INE148O01028
Devyani Intl.,,DEVYANI,EQ,INE872J01023
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,EQ,INE935N01020
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,EQ,INE600L01024
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01031
